,Unnamed: 0,Cod,Nombre,Descripcion ,Stock,etiquetas
32,32,33,NEO QUÍMICA VITAMINA B1 300 MG CON REV CT BL AL PLAS INC X 30,"La vitamina B1 es un fármaco indicado para tratar y suprimir la deficiencia de vitamina B1 en el organismo . Su carencia se asocia con síntomas como falta de apetito, debilidad, irritabilidad y cambios cardíacos y neurológicos.",42,97
33,33,34,VITAUM 300 MG CON REV CT BL AL PVC X 30,sustancia del remedio Vitaum es el CLORHIDRATO DE TIAMINA,21,29
34,34,35,Dolo Neurobion Lidocaína Ampollas,"Ampolla de Clorhidrato de Lidocaína, Clorhidrato de Piridoxina y Clorhidrato de Tiamina.",12,27
35,35,36,Dolo Neurobión Forte Unidad,"Tableta de diclofenaco, tiamina, piridoxina y cianocobalamina.",7,27
36,36,37,SANY D 5000 UI CON REV CT BL AL PLAS OPC X 30,"Medicamento básico de vitamina D3 (colecalciferol), indicado para pacientes que presentan insuficiencia y deficiencia de vitamina D.",8,10
37,37,38,DPREV 50000 UI CON REV CT BL AL PLAS OPC X 8,"DPREV es un medicamento a base de colecalciferol (vitamina D3), indicado para pacientes con insuficiencia y deficiencia de vitamina D.",16,10
38,38,39,SOF D 50000 UI TAPÓN GEL MOLE CT BL AL PLAS TRANS X 4,"SOF D es un fármaco a base de vitamina D3 (colecalciferol), indicado para la prevención y tratamiento auxiliar de la osteoporosis",42,10
39,39,40,SANY D 50000 UI CON REV CT BL AL PLAS OPC X 4,"medicamento básico de vitamina D3 (colecalciferol), indicado para pacientes que presentan insuficiencia y deficiencia de vitamina D.",41,10
40,40,41,Farma D Mag 2000 Ui Unidad,"Cada CÁPSULA BLANDA de 2000 UI contiene: Vitamina D3 (1.000.000 UI/g) 2,0 mg",55,62
41,41,42,Dolo Neurobión Forte Unidad,"Tableta de diclofenaco, tiamina, piridoxina y cianocobalamina.",64,27
42,42,43,Dolo Neurobion Grageas,"Gragea de Diclofenaco Sódico, Vitamina B1 (Tiamina), Vitamina B12, Vitamina B6 (Piridoxina).",53,27
43,43,44,Ampollas Dexabion 3 Ml Caja,Caja con una jeringa y aguja.,46,30
44,44,45,Ferro-B Complex Folic Lamosan Unidad,"Tabletas recubiertas con suplemento de hierro, ácido fólico y vitaminas del complejo B.",28,2
45,45,46,Recom-B Liquicaps Unidad,"Para el buen funcionamiento del sistema nervioso (sueño relajado, entusiasmo, buena memoria). Para el buen funcionamiento cardiovascular y protección contra los efectos del estrés, contra infecciones y alergias, contra defectos congénitos. Para prevenir o corregir la anemia. Para el mantenimiento sano de piel y uñas.",32,77
46,46,47,CLORHIDRATO DE TRAMADOL 50 MG CAP GEL DURO CT BL AL PLAS AMB X 10,"Hidrocloruro de tramadol, el principio activo de Tramadol Aurovitas, es un analgésico de tipo opioide que actúa sobre el sistema nervioso central.",12,7
47,47,48,TYFLEN 500 MG CON CT BL AL PLAS TRANS X 200,La sustancia del medicamento Tyflen es PARACETAMOL,25,29
48,48,49,TYFLEN 500 MG CON CT BL AL PLAS TRANS X 20,La sustancia del medicamento Tyflen es PARACETAMOL,41,29
49,49,50,PARACETAMOL 750 MG CON REV CT BL AL PLAS TRANS X 200,"Para reducir y aliviar la fiebre dolor temporal de leve a moderado, como: dolor asociado con resfriados común, dolor de cabeza, dolor de cuerpo, dolor de muelas, dolor de espalda, dolores musculares, dolor leve asociado con la artritis y los calambres menstruales.",32,40
50,50,51,Femen Forte 400 Mg Unidad,Capsula de femen Forte de 400mg de Ibuprofeno.,25,39
51,51,52,CETOPROFENO 25 MG/G GEL CT BG AL X 30 G,Disminución de la síntesis de prostaglandinas mediante la inhibición de la vía de la ciclooxigenasa.,43,74
52,52,53,CETOFÉNIDO 25 MG/G GEL CT BG AL X 30 G,Disminución de la síntesis de prostaglandinas mediante la inhibición de la vía de la ciclooxigenasa.,28,74
53,53,54,OMEPRAZOL (OMEZZOL 20 MG CAP X 10),Inhibe la secreción de ácido en el estómago. Se une a la bomba de protones en la célula parietal gástrica,13,65
54,54,55,OXYPYNAL 20 MG CON REV LIB PROL CT BL AL AL ??X 14,"para el tratamiento del dolor moderado a severo, cuando se requiere la administración continua de un analgésico, las 24 horas del día, por un período prolongado de tiempo.",32,89
55,55,56,Femen 200 Mg Unidad,Cápsula Blanda de Ibuprofeno 200 mg.,58,39
56,56,57,Aquilea Sueño 0.55 G Unidad,"Comprimidos de Melatonina, Velriana, Pasiflora,Amapola 1.95 mg/ 50 mg/ 100 mg/ 100 mg",21,18
57,57,58,Ansiolife Calm Green Life 60Ml Gotero,Ansiolife Calm Green Life 60ml gotero,16,88
58,58,59,ALPRAZOLAM 0.5 MG CON CT BL AL PLAS OPC X 30,"Es un medicamento tranquilizante (ansiolíticos); pertenece al grupo de las benzodiazepinas. Este medicamento está indicado en el tratamiento de estados de ansiedad generalizada, ansiedad asociada a síntomas de depresión y en el tratamiento de trastornos por angustia con o sin agorafobia (fobia a espacios abiertos muy llenos de gente).",25,78
59,59,60,Good Sleep Nature'S Garden Unidad,"Nature's Garden Good sleep, frasco contiene 60 tabletas.",45,91
60,60,61,Neurexan Caja,"Passiflora incarnata D2 0,6 mg; Avena sativa D2 0,6 mg; Coffea arabica D12 0,6 mg; Zincum isovalerianicum D4 0,6 mg. Excipientes: Estearato de magnesio, lactosa. Elaborado conforme a las normas de la Farmacopea Homeopática Alemana (HAB).",43,59
61,61,62,SOMALIUM 2.5 MG/ML SOL O CT FR PLAS OPC GOT X 20 ML,"Está indicado para la ansiedad, la tensión y otras dolencias somáticas o psicológicas asociadas con síndrome de ansiedad También está indicado para uso adyuvante en el tratamiento de la ansiedad y la agitación.",35,35
62,62,63,BROMAZEPAM 3 MG CON CT BL AL PLAS TRANS X 30,"indicado para la ansiedad, la tensión y otras dolencias físicas o psicológicas asociadas con síndrome de ansiedad También está indicado como coadyuvante en el tratamiento de la ansiedad y la agitación. Asociado con afecciones psiquiátricas, como trastornos del estado de ánimo",17,35
63,63,64,"Alprazolam Alter 0,50 mg comprimidos EFG","Alprazolam Alter pertenece a un grupo de medicamentos llamados tranquilizantes (ansiolíticos) derivados del compuesto llamado benzodiazepina, que actúan sobre la ansiedad, la tensión psíquica y las crisis de angustia.",25,78
64,64,65,SULPAN 1 MG + 25 MG CAP GEL DURA CT BL AL PLAS TRANS X 20,"Está indicado para el tratamiento de pacientes que presenten síntomas de ansiedad, tensión, excitación, insomnio, tristeza, depresión e inhibición psicomotora.",34,35
65,65,66,Diazepam Normon 5MG ,"Facilita la unión del GABA a su receptor y aumenta su actividad. Actúa sobre el sistema límbico, tálamo e hipotálamo.",32,7
66,66,67,CLORHIDRATO DE BUPROPIÓN 150 MG CON REV LIB PROL CT BL AL AL ??X 61,indicado en el tratamiento de episodios de depresión mayor.,34,17
67,67,68,Ezentius 20 Mg ,"Está destinado al tratamiento de la depresión en su fase inicial y al tratamiento de mantenimiento para la prevención de las recidivas, trastornos de ansiedad. Antidepresivo.",53,17
68,68,69,Lexapro 10 Mg ,Trastornos depresivos mayores. Tratamiento de los trastornos de pánico con o sin agorafobia. Tratamiento de los trastornos de ansiedad generalizada. Tratamiento de los desórdenes de ansiedad social (fobia social). Tratamiento del trastorno obsesivo compulsivo,15,36
69,69,70,Fapris 100 Mg,Tratamiento del trastorno depresivo mayor.,32,17
70,70,71,Novo Humorap 10 Mg,"indicado para el tratamiento de: Trastorno depresivo mayor (según DSM-IV), tanto inicial como de mantenimiento para evitar la recaída. Trastorno de angustia (trastornos de pánico) con o sin agorafobia (según DSM-IV). Fobia social (según DSM-IV). Trastorno de ansiedad generalizada (según DSM-IV). Trastorno obsesivo-compulsivo (según DSM-IV).",19,36
71,71,72,Sertralina 50 Mg,indicada como antidepresivo y en tratamiento del trastorno obsesivo compulsivo y en el trastorno de pánico.,23,36
72,72,73,Serolux 50 Mg,"Episodios depresivos mayores. Prevención de reaparición de episodios depresivos mayores.  Trastorno obsesivo-compulsivo.  Trastorno de angustia, con o sin agorafobia, trastorno de ansiedad social y trastorno por estrés postraumático.",26,36
73,73,74,Fluoxetina Mintlab 20 G,"Indicado en episodios depresivos mayores, trastorno obsesivo-compulsivo, bulimia nerviosa (complemento a psicoterapia), episodios depresivos de moderados a graves, si no hay respuesta a la terapia psicológica después de 4 a 6 sesiones.",11,36
74,74,75,Paxil 25 Mg,"Indicado para Episodio depresivo mayor, trastorno obsesivo compulsivo, trastorno de angustia con y sin agorafobia, trastorno de ansiedad social/fobia social",8,36
75,75,76,Prozac Eli 20 Mg,Indicado para Episodios depresivos mayores.  Trastorno obsesivo-compulsivo.  Bulimia nerviosa.  Episodios depresivos de moderados a graves.,25,36
76,76,77,Intensivo Vitamina C Crema Institut Esthederm 50 Ml Unidad,"Gel - Crema intensiva de vitamina C, manchas oscuras, falta de luminosidad, pérdida de firmeza. Evita la aparición de nuevas manchas oscuras, la piel se alisa, se mejora la uniformidad del tono. Textura gel-crema ultraligera y confortable. Probado bajo control dermatológico.",3,38
77,77,78,Parches Lift&Repair Institut Esthederm Contorno De Ojos Caja,"Parches de elevación y reparación de contorno de ojos tratamientos completos de múltiples acciones: hinchazón, ojeras, flacidez y marcas de fatiga.",5,60
78,78,79,Mascarilla Lift&Repair Repulpante Instantánea Institut Esthederm 50 Ml Unidad,"Máscarilla rellenado instantanea rellena y levanta instantáneamente para

Piel radiante y juvenil ""sin arrugas"". Suavizada, hidratada y tersa, la piel luce radiantemente bella.",100,57
79,79,80,Serum Avène A-Oxitive 30 Ml Frasco,"A-Oxitive es un potente sérum antioxidante con acción anti-edad. Su innovador mecanismo de acción libera Vitaminas C y E a lo largo del día, a partir de las Pre-moléculas de Vitaminas C y E que se vuelven puras y activas sólo al entrar en contacto y de acuerdo a la necesidad de su piel.",6,94
80,80,81,Queratol Crema Hidratante 200 G Tubo,Crema hidratante Urea 10% 200 mg.,5,5
81,81,82,Unguento Dérmico Dermabiótico Saval 15 G Tubo,Unguento de Polimixima B y Bacitracina 15 G.,11,92
82,82,83,Agua Termal Con Protector Solar Avène Spf50 200 Ml Spray,Agua Termal on protector solar Avène SPF50 200 ML en Spray. ,10,28
83,83,84,Humectante Cetaphil Ultra 226 G Tubo,Loción corporal especialmente formulada para proporcionar una hidratación intensa diaria a las pieles muy secas y sensibles.,8,69
84,84,85,Discrom Control Neoretin Gelcream 40 Ml Tubo,Crema de día despigmentante con factor de protección solar de 40 ml.,7,48
85,85,86,Protector Solar Photoderm Cover Touch Bioderma Spf 50+ 40 G Unidad,"PHOTODERM COVER TOUCH SPF50+ 40 G: Protector solar mineral de alta cobertura, control del brillo.",4,28
86,86,87,Ensure Advance Vainilla 900 G Tarro,"Nutrición Especializada. Contiene HMB (Beta-Hidroxy-Beta-Metilbutirato), proteína, HMB, vitaminas y minerales. Libre de lactosa y gluten. Para preparar una porción de 230 ml, sirve 190 ml de agua fría o a temperatura ambiente en un vaso y adiciona gradualmente 6 medidas de polvo al ras (cucharada medidora incluida en la lata). Revuelve hasta disolver el polvo completamente.",14,4
87,87,88,Pediasure Vainilla 1600 G Tarro,"PediaSure satisface las necesidades diarias de proteínas, vitaminas y minerales. Puede utilizarse como suplemento alimentario o como única fuente de alimentación. Cuando se toma el número correcto de raciones, proporciona el 100% de la cantidad diaria recomendada (CDR) de proteínas, vitaminas y minerales para niños de entre 1 y 10 años de edad.",10,4
88,88,89,Curamed Tutti Frutti ,"Tabletas masticables para la garganta, Calostro + Vitamina C. Alivia la garganta irritada, evita la infección de la mucosa, fortalece el sistema inmunológico.",15,103
89,89,90,Chupete 90 G,Chupetes de vitamina C,21,14
90,90,91,Pharmaton 29.25 G ,"Para estados de agotamiento (ej. : causados por el estrés), fatiga, sensación de debilidad, disminución de la concentración, también como disminución en la alerta mental. Para nutrición deficiente o mal equilibrada ",34,90
91,91,92,Chupete Pectina + Vitamina C Bee Farma Cereza/Uva,Acción protectora sobre la garganta irritada.,21,102
92,92,93,Magnesio Live Nature'S Garden 890 Mg,"Mantener el buen estado de su sistema óseo, articulaciones y piel",37,20
93,93,94,Beralclausii 5 Ml,"Prevención, tratamiento de la disbiosis intestinal de diversa etiología. Reduce la intensidad y frecuencia de diarreas. Coadyuvante al tratamiento",31,37
94,94,95,Ton Was 10 Ml ,"Suplemento energético bajo condiciones normales o de estrés. En estados de convalecencia y en períodos de intensa actividad: exámenes, deportes, estrés; estados de fatiga, cansancio, decaimiento. Protección de anemias y anorexia.",26,55
95,95,96,Pharmaton 50+,"Pharmaton® 50 Plus es una fórmula completa y equilibrada con vitaminas, minerales esenciales y ácidos grasos Omega-3 (EPA y DHA), que ha sido especialmente desarrollada para cubrir las necesidades nutricionales específicas del organismo a partir de los 50 años, y para contribuir a compensar ligeras carencias causadas por dietas desequilibradas o restrictivas.",18,82
96,96,97,Oxímetro Drive Pulso Unidad,Oxímetro de pulso Drive para niños y adultos.  Pantalla LED de visualización múltiple y fácil de leer.  Muestra SpO2 y pulso. ,5,58
97,97,98,Termometro Digital Scanmed Dmt- 437 Unidad,Se puede utilizar para medir la temperatura corporal. El termómetro está diseñado con la tecnología más actualizada.,20,93
98,98,99,Zapatones Desechables Unidad,Zapatones Desechables Unidad,21,25
99,99,100,Mascarilla Para Nebulización Prodimeda Unidad,"Para administración de medicamentos como: broncodilatadores, antiinflamatorios, mucoliticos o combinados.",22,80
100,100,101,Medias No Varix T.V.P Paquete,Medias para varices,120,64
101,101,102,Catéter Nipro #18 Unidad,Catéter elaborado en poliuretano unidad,280,25
102,102,103,Pato Plástico Prodimeda Unidad,Instrumento médico para la micción de pacientes varones.,20,67
103,103,104,Nebulizador Con Compresor Elite Omron Unidad,Nebulizador con compresor silencioso.,10,52
104,104,105,Equipo Venoclisis Safti Unidad,Equipo de venoclisis.,10,56
105,105,106,Balanza Omron Con Medidor Mano Pie Unidad,Balanza control corporal Premium.,14,83
106,106,107,Farma D Mag 2000 Ui,"Tratamiento del déficit de vitamina D: raquitismo, osteomalacia.
Prevención del deficit de vitamina D en pacientes con alto riesgo. Como coadyuvante para el tratamiento específico de la osteoporosis en pacientes con déficit de vitamina D o en riesgo de insuficiencia de vitamina D o con ingestión inadecuada de vitamina D y/o Ca con alimentos.",12,10
107,107,108,Ferrum Hausmann 5 Ml Ampollas Bebibles,"Tratamiento de la anemia por deficiencia de hierro. Suplementación de hierro en lactantes, Embarazo y Lactancia.",12,26
108,108,109,Gestavit Dha Vitamina,"Complemento multivitamínico prenatal. Prevención y tratamiento de las deficiencias de hierro y ácido fólico, durante el embarazo, el período de lactancia y otros estados de anemia y como suplemento hematínico durante la infancia",15,26
109,109,110,Vitamina E 1000Iu Nature'S Bounty 450 Mg,"Gran poder antioxidante, elimina los radicales libres que de otro modo causarí­an estrés, daño o envejecimiento prematuro a las células. Aumenta el funcionamiento y la salud de varios órganos importantes del cuerpo y mejora la salud neurológica.",8,73
110,110,111,Maddre Immuvit Dha Polvo Chocolate 400 G,"Brinda mayor cantidad de DHA, ácido fólico, proteínas, aminoácidos esenciales, vitaminas, minerales, calcio, hierro, zinc, entre otros, necesarios para complementar los requerimientos propios de estas etapas de pre gestación, gestación, lactancia, tratmiento de anemia durante el embarazo.",2,2
111,111,112,Vitamina C Triple C 1000 Mg,"Mantiene huesos y articulaciones fuertes. Suplemento dirigido a adultos y niños a partir de los 12 años. Triple C Forte con Vitamina C, Vitamina D3 y Zinc. Ayuda al mantenimiento normal del sistema inmunológico. Potente Antioxidante. +Vitamina D3 + Zinc",12,66
112,112,113,Immuvit Plus Q10,"Tratamiento para la rinitis, sinusitis, alergias y procesos post operatorios nasales. Congestión nasal y para la limpieza de la nariz",47,54
113,113,114,Velnatal 1 G,Multivitamínico recomendado en embarazo y lactancia.,6,26
114,114,115,Supradyn Energy 35.73 G,"La fórmula multivitamínica y multimineral única de los comprimidos Supradyn® está diseñada para combatir la fatiga y cubrir posibles carencias nutricionales para que puedas disfrutar de tu vitalidad, fuerza y salud durante todo el día. ",9,47
115,115,116,Emulsión Scott Naranja 400 Ml,"Estados en que se requiera mayor aporte de vit. A y D, Ca y fósforo como crecimiento, dentición, Embarazo, Lactancia, mala nutrición, menopausia y senectud. Deficiencia de vit. A y D, Ca y fosforo como raquitismo, hipocalcemia, osteoporosis, hipovitaminosis A y D.",19,53
116,116,117,Gasa Cureband Antiadherente Esteril 7.5/7.5/2 Cm Sobres,1 Sobre con Gasa Estéril de 7.5 * 7.5 * 2 cm.,28,22
117,117,118,Algodón Sana 25 G Unidad,Algodón hidrófilo.  Celulosa Natural Cultivada no proveniente de la Tala de Árboles. Empacado en Zig zag.  ,23,42
118,118,119,"
Cinta Adhesiva Nexcare Steri-Strip Unidad",Cinta Adhesiva Nexcare Steri-Strip.,32,100
119,119,120,Agua Oxigenada Laturi 10 Vo 100 Cc Frasco,Agua Oxigenada Laturi 10 Vo 100 Cc,10,75
120,120,121,Alcohol Antiséptico Fybeca 500 Ml Spray,"
Alcohol Antiséptico 500 Ml",15,8
121,121,122,Esparadrapo Leukoplast Impermeable Caja,Esparadrapo Leukoplast Impermeable Caja,20,30
122,122,123,Vendas Wata Algodón Herenco 4 Pulgadas Unidad,Vendas Wata de algodón no adhesiva de 4 pulgadas.,21,43
123,123,124,Gasa Sana Hidrófila Estéril 1 Yarda Paquete,Rollo de gasa hidrófila estéril 1 yarda.,15,22
124,124,125,Curitas Cureband Venditas Standard Unidad,Curitas venditas Standart.,30,23
125,125,126,Jeringa Vanjerin 5 Cc 21 G Unidad,Jeringas descartables 5ml Luer lock tamaño 21x1-1/2.,32,72
126,126,127,"CODEISAN 1,26MG/ML 250ML JARABE","El fosfato de codeína es una sal hidrosoluble de codeína. La codeína calma la tos (antitusígeno), por lo que se utiliza en el tratamiento sintomático de la tos improductiva",25,71
127,127,128,EFFERALGAN PEDIATRICO 150MG/5ML 90ML JARABE,"indicado para el tratamiento sintomático del dolor ocasional leve o moderado y estados febriles, en niños de 4 a 32 kg (aproximadamente, desde 1 mes hasta 10 años).",10,12
128,128,129,Tussolvina Forte Menta 120 Ml,"Tratamiento de la congestión e inflamación originada por la tos seca, tos con flema o tos irritativa (tos alérgica), acompaña a los estados gripales, tos nocturna, tos aguda o crónica de cualquier causa, tratamiento coadyuvante en cuadros alérgicos como: Rinitis.",5,15
129,129,130,Abrilar 200 Ml,Afecciones broncopulmonares con secreciones o tos seca irritativa.,6,15
130,130,131,Umbral Infantil 105 Mg,"Alivio sintomático de dolor leve o moderado; dolores asociados a gripes y resfriados, dolores de garganta, dolores de cabeza, dolores dentales, reacciones post-vacunas y estados febriles.",8,40
131,131,132,Eucamiel 240 Ml,"Eucamiel jarabe para la tos: antiséptico de las vías respiratorias, balsámico broncodilatador, expectorante mucolítico, indicado para la fiebre, tos, flema, gripe, resfrío, asma , bronquitis, faringitis, rinitis, sinusitis, traqueítis.",12,3
132,132,133,Muxol Adulto 30 Mg,"Alivio de la tos productiva, (con secreción o flema), por su acción broncosecretolitica, está indicado en bronquitis aguda y crónica, asma bronquial, rinitis, sinusitis y rinitis seca. Profilaxis pre y post operat. de complicaciones broncopulmonares.",20,11
133,133,134,Tempra 160 Mg 5 Ml,Oral o rectal: fiebre; dolor de cualquier etiología de intensidad leve o moderado.,21,37
134,134,135,Bisolvon Adultos 8 Mg 120 Ml,Terapia secretolítica en enfermedades broncopulmonares agudas y crónicas asociadas a secreción mucosa anormal y deterioro del transporte mucoso.,15,11
135,135,136,Guaifenesina 125 Ml,Alivio de la tos y para facilitar la expulsión del exceso de mocos y flemas en catarros y gripes para adultos y niños ? 6 años.,12,3
136,136,137,Enterogermina 5 Ml,"Tratamiento y profilaxis de las alteraciones de la flora bacteriana intestinal y de la disvitaminosis endógena subsiguiente. Tratamiento para la recuperación de la flora bacteriana intestinal alterada durante el curso de un tratamiento con agentes antibióticos o quimioterápicos. Desórdenes agudos y crónicos en lactantes, atribuibles a intoxicaciones o alteraciones de la flora bacteriana intestinal y disvitaminosis",5,81
137,137,138,Ivermin 6 Mg,"Oral. Puede deglutirse o disolverse en no menos de una cucharada de agua. En el tto. de ectoparasitosis causadas por Sarcoptes scabiei y Pediculus humanus, así como en parasitosis causadas por nematodos (Ascaris lumbricoides, Enterobius vermicularis, Trichuris trichiura, Strongyloides stercoralis, Onchocerca volvulus, Gnathostoma spinigerum y larva migrans)",12,32
138,138,139,Azitromicina Medigener 500 Mg,"Oral. Infección por germen sensible: sinusitis bacteriana aguda y otitis media bacteriana aguda (diagnosticadas adecuadamente); faringitis, amigdalitis; exacerbación aguda de bronquitis crónica (diagnosticada adecuadamente); neumonía adquirida en la comunidad de leve a moderadamente grave; infecciones de piel y tejidos blandos de gravedad de leve a moderada",6,99
139,139,140,Fluimucil 600 Mg,"Infecciones respiratorias como EPOC, enfisema, sinusitis, pacientes alérgicos, como antioxidantes en diferentes enfermedades. Prevención de nefrotoxicidad en exámenes con medio de contraste.",20,44
140,140,141,Buscapina 10 Mg,"Espasmos del tracto gastrointestinal, biliar y genitourinario; discinesia biliar.",14,0
141,141,142,Glucovance 500 / 2.5 Mg,Tratamiento inicial de la diabetes mellitus tipo 2 (terapia de primera línea). En pacientes obesos cuya hiperglucemia no se controla adecuadamente con dieta y ejercicio. En estos casos GLUCOVANCE ha logrado un mejor control que la monoterapia.  Terapia de segunda línea: GLUCOVANCE está indicado como terapia de segunda línea cuando el tratamiento inicial con dieta y ejercicio o con sulfonilurea o metformina solas no logra el control glucémico adecuado en pacientes con diabetes tipo 2.  Como terapia de reemplazo de un tratamiento previo con la combinación de metformina y una sulfonilurea.,5,6
